country;variable;percentile;year;value;age;pop
QR;ehfcari999;p0p100;1990;267.402206868503;999;i
QR;ehfcari999;p0p100;1991;279.664853645106;999;i
QR;ehfcari999;p0p100;1992;287.199929739382;999;i
QR;ehfcari999;p0p100;1993;297.798164589039;999;i
QR;ehfcari999;p0p100;1994;306.617179823727;999;i
QR;ehfcari999;p0p100;1995;331.407180782139;999;i
QR;ehfcari999;p0p100;1996;348.440134300165;999;i
QR;ehfcari999;p0p100;1997;378.965584123577;999;i
QR;ehfcari999;p0p100;1998;411.441026594026;999;i
QR;ehfcari999;p0p100;1999;369.92377065082;999;i
QR;ehfcari999;p0p100;2000;352.474787505282;999;i
QR;ehfcari999;p0p100;2001;353.341449181811;999;i
QR;ehfcari999;p0p100;2002;309.867087177406;999;i
QR;ehfcari999;p0p100;2003;334.624837735912;999;i
QR;ehfcari999;p0p100;2004;334.089978126678;999;i
QR;ehfcari999;p0p100;2005;363.100125645011;999;i
QR;ehfcari999;p0p100;2006;367.809079430319;999;i
QR;ehfcari999;p0p100;2007;390.292074873615;999;i
QR;ehfcari999;p0p100;2008;438.180804338124;999;i
QR;ehfcari999;p0p100;2009;422.050962645909;999;i
QR;ehfcari999;p0p100;2010;477.138446192702;999;i
QR;ehfcari999;p0p100;2011;486.465519740196;999;i
QR;ehfcari999;p0p100;2012;538.526468126092;999;i
QR;ehfcari999;p0p100;2013;554.301565003806;999;i
QR;ehfcari999;p0p100;2014;578.899781378827;999;i
QR;ehfcari999;p0p100;2015;560.656667538962;999;i
QR;ehfcari999;p0p100;2016;550.034596356502;999;i
QR;ehfcari999;p0p100;2017;545.532190388806;999;i
QR;ehfcari999;p0p100;2018;531.702124566137;999;i
QR;ehfcari999;p0p100;2019;525.482914664974;999;i
QR;ehfcari999;p0p100;2020;499.208768931725;999;i
QR;ehfghdi999;p0p100;1990;97.9866216009504;999;i
QR;ehfghdi999;p0p100;1991;99.261518089849;999;i
QR;ehfghdi999;p0p100;1992;101.303412227967;999;i
QR;ehfghdi999;p0p100;1993;106.859816126652;999;i
QR;ehfghdi999;p0p100;1994;110.030963630103;999;i
QR;ehfghdi999;p0p100;1995;115.326293574748;999;i
QR;ehfghdi999;p0p100;1996;120.894829661576;999;i
QR;ehfghdi999;p0p100;1997;127.891112049976;999;i
QR;ehfghdi999;p0p100;1998;136.206812736805;999;i
QR;ehfghdi999;p0p100;1999;138.564078301202;999;i
QR;ehfghdi999;p0p100;2000;135.511737878801;999;i
QR;ehfghdi999;p0p100;2001;136.676577320991;999;i
QR;ehfghdi999;p0p100;2002;137.974908290359;999;i
QR;ehfghdi999;p0p100;2003;138.661522322137;999;i
QR;ehfghdi999;p0p100;2004;141.176820639;999;i
QR;ehfghdi999;p0p100;2005;143.984998911697;999;i
QR;ehfghdi999;p0p100;2006;146.950423633816;999;i
QR;ehfghdi999;p0p100;2007;150.08348685;999;i
QR;ehfghdi999;p0p100;2008;157.701717509451;999;i
QR;ehfghdi999;p0p100;2009;165.926524389142;999;i
QR;ehfghdi999;p0p100;2010;174.807633695197;999;i
QR;ehfghdi999;p0p100;2011;184.399288158;999;i
QR;ehfghdi999;p0p100;2012;186.515846147456;999;i
QR;ehfghdi999;p0p100;2013;188.905107780699;999;i
QR;ehfghdi999;p0p100;2014;191.569960226;999;i
QR;ehfghdi999;p0p100;2015;185.413428463529;999;i
QR;ehfghdi999;p0p100;2016;184.996130707561;999;i
QR;ehfghdi999;p0p100;2017;181.857471824026;999;i
QR;ehfghdi999;p0p100;2018;177.43955860671;999;i
QR;ehfghdi999;p0p100;2019;175.538187142464;999;i
QR;ehfghdi999;p0p100;2020;166.76127778534;999;i
QR;ehfghgi999;p0p100;1980;690.329986159062;999;i
QR;ehfghgi999;p0p100;1981;680.470837474316;999;i
QR;ehfghgi999;p0p100;1982;678.646319754082;999;i
QR;ehfghgi999;p0p100;1983;666.789843001377;999;i
