country;variable;percentile;year;value;age;pop
QI;ehfcari999;p0p100;1990;152.835462670695;999;i
QI;ehfcari999;p0p100;1991;163.104741712383;999;i
QI;ehfcari999;p0p100;1992;169.575091974148;999;i
QI;ehfcari999;p0p100;1993;170.726488953513;999;i
QI;ehfcari999;p0p100;1994;175.378396221281;999;i
QI;ehfcari999;p0p100;1995;153.525454417084;999;i
QI;ehfcari999;p0p100;1996;158.168794912648;999;i
QI;ehfcari999;p0p100;1997;179.340181559233;999;i
QI;ehfcari999;p0p100;1998;202.262890169163;999;i
QI;ehfcari999;p0p100;1999;208.843080922808;999;i
QI;ehfcari999;p0p100;2000;222.990118651996;999;i
QI;ehfcari999;p0p100;2001;232.800067322789;999;i
QI;ehfcari999;p0p100;2002;240.515736158536;999;i
QI;ehfcari999;p0p100;2003;243.441661992012;999;i
QI;ehfcari999;p0p100;2004;238.770153257083;999;i
QI;ehfcari999;p0p100;2005;263.32780031712;999;i
QI;ehfcari999;p0p100;2006;267.563596104247;999;i
QI;ehfcari999;p0p100;2007;257.420706025361;999;i
QI;ehfcari999;p0p100;2008;266.522221317122;999;i
QI;ehfcari999;p0p100;2009;252.098008195001;999;i
QI;ehfcari999;p0p100;2010;252.088528116822;999;i
QI;ehfcari999;p0p100;2011;259.805669501798;999;i
QI;ehfcari999;p0p100;2012;285.98821635053;999;i
QI;ehfcari999;p0p100;2013;288.598889314268;999;i
QI;ehfcari999;p0p100;2014;283.178769959394;999;i
QI;ehfcari999;p0p100;2015;271.272026847741;999;i
QI;ehfcari999;p0p100;2016;261.758059597513;999;i
QI;ehfcari999;p0p100;2017;255.325431949191;999;i
QI;ehfcari999;p0p100;2018;254.311676598593;999;i
QI;ehfcari999;p0p100;2019;249.896463706892;999;i
QI;ehfcari999;p0p100;2020;237.401640521547;999;i
QI;ehfghdi999;p0p100;1990;54.3390523033065;999;i
QI;ehfghdi999;p0p100;1991;56.8257833119024;999;i
QI;ehfghdi999;p0p100;1992;58.0277254571834;999;i
QI;ehfghdi999;p0p100;1993;58.8896071364862;999;i
QI;ehfghdi999;p0p100;1994;61.9475219664599;999;i
QI;ehfghdi999;p0p100;1995;58.8477042323393;999;i
QI;ehfghdi999;p0p100;1996;61.0650513174662;999;i
QI;ehfghdi999;p0p100;1997;65.3541342505968;999;i
QI;ehfghdi999;p0p100;1998;69.4623272933206;999;i
QI;ehfghdi999;p0p100;1999;69.7803686158906;999;i
QI;ehfghdi999;p0p100;2000;71.0095953912928;999;i
QI;ehfghdi999;p0p100;2001;74.0588122838641;999;i
QI;ehfghdi999;p0p100;2002;74.2542228573116;999;i
QI;ehfghdi999;p0p100;2003;78.6867593099724;999;i
QI;ehfghdi999;p0p100;2004;79.0219774462;999;i
QI;ehfghdi999;p0p100;2005;81.5752522180253;999;i
QI;ehfghdi999;p0p100;2006;84.2257506267498;999;i
QI;ehfghdi999;p0p100;2007;86.9783321874;999;i
QI;ehfghdi999;p0p100;2008;88.3950269782879;999;i
QI;ehfghdi999;p0p100;2009;89.92819133944;999;i
QI;ehfghdi999;p0p100;2010;91.600387787607;999;i
QI;ehfghdi999;p0p100;2011;93.4389326261;999;i
QI;ehfghdi999;p0p100;2012;93.5275694533343;999;i
QI;ehfghdi999;p0p100;2013;93.7539622180328;999;i
QI;ehfghdi999;p0p100;2014;94.1014533498;999;i
QI;ehfghdi999;p0p100;2015;95.0696810906754;999;i
QI;ehfghdi999;p0p100;2016;95.7103882921423;999;i
QI;ehfghdi999;p0p100;2017;92.3892696325203;999;i
QI;ehfghdi999;p0p100;2018;91.4333091955577;999;i
QI;ehfghdi999;p0p100;2019;89.9643523447515;999;i
QI;ehfghdi999;p0p100;2020;85.4661347275139;999;i
QI;ehfghgi999;p0p100;1980;281.021138099694;999;i
QI;ehfghgi999;p0p100;1981;298.501933098259;999;i
QI;ehfghgi999;p0p100;1982;306.546776747657;999;i
QI;ehfghgi999;p0p100;1983;268.065639913354;999;i
QI;ehfghgi999;p0p100;1984;263.565363323194;999;i
QI;ehfghgi999;p0p100;1985;274.240202586875;999;i
QI;ehfghgi999;p0p100;1986;262.601417401037;999;i
QI;ehfghgi999;p0p100;1987;269.446631125378;999;i
QI;ehfghgi999;p0p100;1988;277.513702038568;999;i
QI;ehfghgi999;p0p100;1989;307.87090646324;999;i
QI;ehfghgi999;p0p100;1990;305.802144666777;999;i
QI;ehfghgi999;p0p100;1991;316.725090501047;999;i
